Date,Open,High,Low,Close,Volume
2024-10-09,1391.9657,1395.4019,1367.0402,1369.1318,14310610
2024-10-10,1374.5352,1380.4864,1363.9774,1365.5959,22358646
2024-10-11,1364.5501,1377.7723,1363.3797,1366.6417,7980122
2024-10-14,1373.9624,1374.585,1362.807,1367.0651,12221432
2024-10-15,1353.1208,1366.2433,1335.3666,1338.6785,33762794
2024-10-16,1334.6695,1358.574,1332.304,1348.6885,20034438
2024-10-17,1360.2672,1363.0062,1346.6716,1351.0292,15543660
2024-10-18,1346.796,1362.9814,1335.9891,1353.8927,12082452
2024-10-21,1361.6866,1368.5343,1352.324,1363.7533,14067408
2024-10-22,1363.7532,1370.5262,1334.8935,1338.0061,15831960
2024-10-23,1332.1794,1352.0749,1329.6893,1333.2003,17214742
2024-10-24,1329.9633,1338.3547,1317.8616,1334.4703,22155934
2024-10-25,1338.1555,1339.0021,1316.741,1322.5677,18597496
2024-10-28,1331.6814,1347.6177,1316.8406,1329.0419,10824350
2024-10-29,1322.8167,1337.8567,1315.0478,1334.6694,12008361
2024-10-30,1329.6893,1344.6297,1320.0777,1338.554,11984423
2024-10-31,1334.6694,1337.6575,1320.8745,1326.7511,9331650
2024-11-01,1327.7471,1336.6116,1327.6973,1333.3248,2127335
2024-11-04,1332.528,1334.6695,1279.9879,1296.9701,19796890
2024-11-05,1287.8564,1304.3406,1281.0337,1300.1075,16267479
2024-11-06,1304.7888,1323.0161,1295.0278,1320.0778,21625209
2024-11-07,1318.7332,1318.7332,1297.4183,1300.4562,9611974
2024-11-08,1292.4879,1296.472,1269.928,1278.6432,19814406
2024-11-11,1273.8622,1280.8842,1261.9598,1267.6371,9056552
2024-11-12,1270.4759,1284.1712,1262.4579,1269.181,10671091
2024-11-13,1265.1969,1270.3762,1244.5294,1247.0693,14633633
2024-11-14,1248.6132,1267.5376,1246.1231,1262.5575,12612633
2024-11-18,1262.5575,1267.8364,1238.9518,1255.7347,13620611
2024-11-19,1255.7347,1276.4021,1230.2366,1236.7107,14183746
2024-11-21,1236.7107,1239.0015,1212.4078,1218.1349,19433843
2024-11-22,1224.5094,1263.8024,1217.587,1260.3662,20471957
2024-11-25,1284.8683,1299.2608,1277.3483,1281.8802,28923341
2024-11-26,1289.7986,1292.6871,1279.0914,1290.5457,9247557
2024-11-27,1288.3544,1298.6632,1280.8842,1288.0555,9572746
2024-11-28,1284.8185,1291.442,1264.0017,1265.7448,15027412
2024-11-29,1274.9082,1294.3306,1270.177,1287.0596,13202307
2024-12-02,1282.8764,1306.1335,1271.97,1303.9423,11024152
2024-12-03,1311.7609,1321.522,1301.8007,1318.0359,16869482
2024-12-04,1320.7251,1323.1156,1298.8625,1303.7429,19608540
2024-12-05,1309.1215,1324.6594,1300.9541,1316.7909,16858723
2024-12-06,1318.6335,1318.6335,1304.7888,1306.3326,9037514
2024-12-09,1297.8167,1309.7689,1287.956,1289.9979,14650002
2024-12-10,1284.1213,1289.7488,1275.1072,1279.7388,16043729
2024-12-11,1279.8882,1284.8683,1270.9739,1273.1152,11724373
2024-12-12,1264.948,1273.1153,1255.5853,1257.8762,20906813
2024-12-13,1254.9878,1270.1272,1234.6689,1267.7866,28630222
2024-12-16,1269.9281,1275.9042,1261.5117,1263.2548,9486781
2024-12-17,1256.0335,1258.8722,1237.8561,1240.3462,17462791
2024-12-18,1235.7147,1254.9378,1235.7147,1248.2645,12670179
2024-12-19,1234.0712,1239.9478,1224.111,1225.5552,14244653
2024-12-20,1219.1309,1234.5693,1196.7204,1200.5054,20312896
2024-12-23,1210.1667,1222.3182,1208.3738,1217.4377,10052824
2024-12-24,1217.4377,1228.643,1216.1428,1217.8859,6734917
2024-12-26,1219.3799,1222.8161,1209.4197,1211.7106,10016178
2024-12-27,1213.4537,1223.0155,1212.1588,1216.1927,7000397
2024-12-30,1211.5612,1218.3341,1203.2942,1205.8838,8818766
2024-12-31,1203.1946,1214.2504,1201.3519,1210.6149,6405475
2025-01-01,1210.0173,1221.4218,1206.7802,1216.3918,5892590
2025-01-02,1216.3918,1239.4995,1215.1468,1236.8601,15486276
2025-01-03,1238.9518,1257.0296,1230.5852,1246.173,15521102
2025-01-06,1248.9617,1256.9798,1210.1667,1213.1548,14816766
2025-01-07,1217.1388,1239.5493,1216.3918,1235.9138,10070505
2025-01-08,1244.0315,1265.9938,1240.396,1260.4658,19346579
2025-01-09,1261.9598,1264.6989,1243.0852,1249.7585,12794704
2025-01-10,1248.8621,1251.7506,1231.0832,1236.9597,8120332
2025-01-13,1225.1071,1240.2964,1221.5214,1234.9178,13764861
2025-01-14,1239.151,1248.3642,1222.368,1233.8223,13095266
2025-01-15,1239.9975,1251.9996,1236.9098,1247.2186,9578856
2025-01-16,1253.8921,1269.928,1246.3224,1261.412,14117603
2025-01-17,1316.9901,1320.7251,1279.8882,1297.1692,29366277
2025-01-20,1310.7649,1310.7649,1295.0776,1300.2568,14040244
2025-01-21,1305.2868,1307.7769,1265.1471,1268.6332,14562976
2025-01-22,1273.215,1277.7966,1263.653,1272.0197,10273590
2025-01-23,1264.9479,1272.2686,1256.5813,1258.6232,8720682
2025-01-24,1260.9639,1267.936,1238.5534,1241.3423,14235970
2025-01-27,1234.1708,1235.5154,1215.1468,1224.4596,9536019
2025-01-28,1233.0753,1239.7984,1213.6528,1229.4896,10568025
2025-01-29,1231.0832,1237.8064,1223.1649,1230.5852,5928156
2025-01-30,1230.635,1251.9997,1227.4976,1248.0654,9269259
2025-01-31,1250.8542,1261.9598,1244.0315,1260.0674,6584612
2025-02-01,1260.0673,1265.4957,1236.0632,1259.5693,7118453
2025-02-03,1246.0235,1251.0036,1232.6271,1240.9438,9252345
2025-02-04,1243.0853,1283.6732,1241.641,1280.0874,16691069
2025-02-05,1277.5476,1285.3664,1271.6212,1273.1152,10112028
2025-02-06,1268.6332,1282.8763,1265.2965,1276.452,9956001
2025-02-07,1271.0735,1278.5934,1256.9798,1261.661,8764283
2025-02-10,1259.4698,1261.4618,1240.5952,1248.663,6970972
2025-02-11,1259.5197,1259.5197,1225.2066,1229.9377,8859714
2025-02-12,1214.5989,1222.0194,1188.6028,1211.7106,21131654
2025-02-13,1212.2086,1223.115,1207.1787,1211.2623,8511216
2025-02-14,1214.1508,1219.1309,1200.6546,1212.4077,10298145
2025-02-17,1206.2822,1222.617,1199.7085,1220.0273,8166683
2025-02-18,1219.9775,1225.0075,1211.2623,1220.5254,6673250
2025-02-19,1214.6488,1227.8461,1212.7066,1222.5671,6217338
2025-02-20,1219.081,1234.4198,1217.1389,1228.0951,7795582
2025-02-21,1223.8121,1235.0672,1217.2883,1223.2644,6904025
2025-02-24,1211.7105,1218.3838,1205.6846,1209.7185,7172498
2025-02-25,1206.1826,1216.1428,1196.7204,1199.2104,11552182
2025-02-27,1207.9755,1210.1667,1195.8738,1202.2981,11509215
2025-02-28,1197.2184,1212.5073,1188.5531,1195.3259,23007298
2025-03-03,1199.2104,1201.6506,1151.4014,1166.5907,17944938
2025-03-04,1157.5767,1169.3298,1154.9373,1157.278,11377373
2025-03-05,1156.3816,1178.294,1152.3975,1170.9235,8664095
2025-03-06,1192.2384,1209.1209,1180.4355,1204.7882,14468014
2025-03-07,1211.1628,1249.8085,1207.1787,1244.8284,16474965
2025-03-10,1240.0474,1252.9956,1230.4856,1233.4736,11931051
2025-03-11,1235.0672,1244.5295,1224.858,1242.3383,10089838
2025-03-12,1252.9956,1257.9757,1239.0513,1252.0494,11977555
2025-03-13,1255.0376,1259.1213,1238.902,1242.9359,9505270
2025-03-17,1237.2087,1252.398,1228.1946,1233.9218,16640917
2025-03-18,1233.9218,1233.9218,1233.9218,1233.9218,0
2025-03-19,1236.1131,1248.2646,1233.8721,1242.1888,16162399
2025-03-20,1246.8701,1267.936,1245.0773,1264.1013,15971477
2025-03-21,1269.928,1275.9041,1265.0474,1271.2726,21780769
2025-03-24,1285.8643,1300.8047,1279.1412,1296.9202,20299319
2025-03-25,1302.4979,1302.4979,1277.4978,1280.3364,13713899
2025-03-26,1285.8644,1288.6533,1263.7029,1267.9858,12074747
2025-03-27,1273.0655,1279.8882,1266.2428,1273.1152,15028056
2025-03-28,1274.9081,1290.5955,1263.9519,1270.0276,18147129
2025-04-01,1259.5693,1272.8165,1244.3303,1247.6171,12099648
2025-04-02,1242.5873,1250.5555,1238.9518,1246.173,10142590
2025-04-03,1228.145,1246.8204,1228.145,1243.7327,7434366
2025-04-04,1236.1628,1240.4955,1188.4036,1199.9076,17908652
2025-04-07,1127.696,1166.5907,1110.4151,1161.0627,22156106
2025-04-08,1167.3378,1191.8399,1158.6725,1177.4972,19555040
2025-04-09,1164.8477,1185.067,1163.3537,1180.6346,10223104
2025-04-11,1190.3957,1217.7863,1190.3957,1214.101,11224242
2025-04-15,1246.0235,1246.0235,1232.1788,1235.1669,13378535
2025-04-16,1229.1907,1235.9637,1224.111,1234.3701,8248464
2025-04-17,1235.2665,1275.1073,1222.7166,1269.4301,15398401
2025-04-21,1264.9479,1295.725,1261.9598,1290.3464,10429964
2025-04-22,1294.8286,1298.7132,1281.1832,1286.0636,13051707
2025-04-23,1291.8405,1300.8047,1280.2867,1294.8286,10480888
2025-04-24,1287.2589,1299.3107,1285.1673,1296.4222,10468940
2025-04-25,1298.3147,1319.9283,1282.9759,1295.2271,14431012
2025-04-28,1334.6695,1369.1318,1314.9482,1363.355,31104496
2025-04-29,1365.5462,1405.2875,1364.5502,1394.132,32538970
2025-04-30,1396.4228,1406.7815,1363.5541,1399.4109,25480745
2025-05-02,1408.3751,1421.0246,1403.4946,1414.1521,13007841
2025-05-05,1425.3075,1433.7737,1421.2238,1425.6063,12685649
2025-05-06,1425.3075,1426.3035,1404.9886,1415.2477,14084117
2025-05-07,1415.2476,1418.7337,1397.1199,1400.4069,13440169
2025-05-08,1398.5145,1415.1481,1392.4388,1401.403,16106175
2025-05-09,1379.9885,1389.2515,1369.0322,1371.7214,13668904
2025-05-12,1394.4307,1433.2756,1394.4307,1430.7855,10674081
2025-05-13,1427.7975,1441.9409,1406.7814,1410.0682,11407896
2025-05-14,1414.3512,1424.2119,1409.8691,1418.7338,5570160
2025-05-15,1419.3314,1455.5866,1407.0802,1448.4152,20177211
2025-05-16,1447.4191,1455.1881,1441.5427,1450.6064,9036695
2025-05-19,1446.3235,1448.8135,1432.4787,1435.0685,6195791
2025-05-20,1432.4787,1439.2517,1416.1441,1418.9329,11270560
2025-05-21,1418.2357,1430.4867,1412.4587,1423.5145,6136364
