Date,Open,High,Low,Close,Volume
2024-07-25,1747.7859,1758.2535,1740.1034,1752.4435,5815599
2024-07-26,1752.9237,1808.2863,1752.9237,1804.349,11369047
2024-07-29,1818.4656,1827.4927,1790.0401,1796.8584,4635931
2024-07-30,1796.8583,1805.3572,1786.1988,1802.6683,2721265
2024-07-31,1802.5243,1810.3509,1791.0485,1794.1215,5004209
2024-08-01,1782.4535,1793.7854,1771.89,1779.0924,7475014
2024-08-02,1769.8734,1785.7187,1744.0888,1748.9384,7400938
2024-08-05,1714.1266,1726.1787,1650.3613,1682.3881,10736703
2024-08-06,1690.3587,1725.6505,1675.6177,1681.6198,7690163
2024-08-07,1724.7383,1726.5629,1692.1834,1720.5609,5094329
2024-08-08,1709.3251,1709.3251,1658.5721,1673.9854,6227910
2024-08-09,1700.9703,1710.0933,1686.3254,1700.4901,4258524
2024-08-12,1702.6989,1731.9407,1697.9453,1726.0828,4315329
2024-08-13,1738.1827,1738.1827,1718.064,1726.1306,4176918
2024-08-14,1730.5003,1752.5877,1726.1307,1750.9071,7450718
2024-08-16,1776.5956,1787.9754,1756.909,1785.1904,7335657
2024-08-19,1786.1989,1793.4494,1775.8274,1790.8085,2585989
2024-08-20,1805.4054,1810.8791,1794.0735,1797.9148,3870333
2024-08-21,1800.6996,1804.4449,1793.017,1798.3948,1966902
2024-08-22,1809.2466,1818.5137,1795.5139,1805.6454,4300287
2024-08-23,1803.6767,1807.9022,1783.318,1788.2156,5015935
2024-08-26,1795.8021,1813.8082,1790.0402,1801.7081,3728589
2024-08-27,1801.708,1827.2525,1799.5473,1824.7076,3830679
2024-08-28,1831.238,1873.5881,1822.1149,1862.1603,6514531
2024-08-29,1856.3023,1873.108,1844.6825,1856.6384,7228284
2024-08-30,1861.104,1872.6278,1851.5008,1866.5778,13466759
2024-09-02,1866.2417,1897.3561,1865.7136,1886.5525,5573739
2024-09-03,1888.9534,1888.9534,1859.6155,1864.2251,4694322
2024-09-04,1844.8745,1850.7324,1824.6598,1846.1709,4778310
2024-09-05,1849.8202,1863.0246,1833.8308,1856.4464,4081810
2024-09-06,1845.7388,1859.6635,1821.5867,1826.3883,5848106
2024-09-09,1815.0086,1844.6345,1814.0483,1819.4741,4772612
2024-09-10,1829.3173,1858.223,1820.7704,1836.4237,6909600
2024-09-11,1838.7284,1849.5801,1829.4133,1834.359,5312946
2024-09-12,1848.6199,1878.774,1834.9834,1873.0601,8555092
2024-09-13,1873.0598,1880.8865,1858.8471,1866.9618,3843127
2024-09-16,1868.5465,1874.5485,1856.3504,1872.8679,1570181
